unsupported_exit_extra_penalty_bps,period_type,period,net_return
50,monthly,2023-10,0.0
50,monthly,2023-11,0.0
50,monthly,2023-12,0.0
50,monthly,2024-01,0.0
50,monthly,2024-02,0.0
50,monthly,2024-03,0.0
50,monthly,2024-04,0.0
50,monthly,2024-05,0.0
50,monthly,2024-06,0.0
50,monthly,2024-07,0.0103358541229385
50,monthly,2024-08,0.005354210987168173
50,monthly,2024-09,0.030153517280951538
50,monthly,2024-10,0.0
50,monthly,2024-11,0.0
50,monthly,2024-12,0.0
50,monthly,2025-01,0.0
50,monthly,2025-02,0.0
50,monthly,2025-03,-0.0149701968370618
50,monthly,2025-04,0.22095402789671928
50,monthly,2025-05,0.0
50,monthly,2025-06,0.0
50,monthly,2025-07,0.0
50,monthly,2025-08,-0.0140680984507746
50,monthly,2025-09,0.0
50,monthly,2025-10,0.006407614931416001
50,monthly,2025-11,-0.0172920533255637
50,monthly,2025-12,0.0
50,monthly,2026-01,0.0
50,monthly,2026-02,0.026144088980719796
50,monthly,2026-03,0.0
50,monthly,2026-04,0.0008546048298572
50,yearly,2019,-0.030483778996441602
50,yearly,2020,-0.00843404180351488
50,yearly,2021,0.04460822758693831
50,yearly,2022,0.008688935445922596
50,yearly,2023,-0.0155013744937838
50,yearly,2024,0.04584358239105821
50,yearly,2025,0.18103129421473518
50,yearly,2026,0.026998693810576995
100,weekly,2019-06-15/2019-06-21,0.0
100,weekly,2019-06-22/2019-06-28,0.0
100,weekly,2019-06-29/2019-07-05,0.0
100,weekly,2019-07-06/2019-07-12,0.0
100,weekly,2019-07-13/2019-07-19,0.0
100,weekly,2019-07-20/2019-07-26,0.0
100,weekly,2019-07-27/2019-08-02,0.0
100,weekly,2019-08-03/2019-08-09,0.0
100,weekly,2019-08-10/2019-08-16,-0.0018985074371206
100,weekly,2019-08-17/2019-08-23,-0.0238815559120597
100,weekly,2019-08-24/2019-08-30,0.0
100,weekly,2019-08-31/2019-09-06,0.0
100,weekly,2019-09-07/2019-09-13,0.0
100,weekly,2019-09-14/2019-09-20,-0.0073611579229605
100,weekly,2019-09-21/2019-09-27,0.0
100,weekly,2019-09-28/2019-10-04,-0.0003624150963234
100,weekly,2019-10-05/2019-10-11,-0.0016437926279774
100,weekly,2019-10-12/2019-10-18,0.0
100,weekly,2019-10-19/2019-10-25,0.0
100,weekly,2019-10-26/2019-11-01,0.0
100,weekly,2019-11-02/2019-11-08,0.0
100,weekly,2019-11-09/2019-11-15,0.0
100,weekly,2019-11-16/2019-11-22,0.0
100,weekly,2019-11-23/2019-11-29,0.0
100,weekly,2019-11-30/2019-12-06,0.0
100,weekly,2019-12-07/2019-12-13,0.0
100,weekly,2019-12-14/2019-12-20,0.0
100,weekly,2019-12-21/2019-12-27,0.0
100,weekly,2019-12-28/2020-01-03,0.0
100,weekly,2020-01-04/2020-01-10,0.0
100,weekly,2020-01-11/2020-01-17,0.0
100,weekly,2020-01-18/2020-01-24,0.0
100,weekly,2020-01-25/2020-01-31,0.001657124379597
100,weekly,2020-02-01/2020-02-07,0.0
100,weekly,2020-02-08/2020-02-14,0.0
100,weekly,2020-02-15/2020-02-21,0.0
100,weekly,2020-02-22/2020-02-28,-0.0264892862211817
100,weekly,2020-02-29/2020-03-06,0.0091904697344293
100,weekly,2020-03-07/2020-03-13,-0.012600729201290052
100,weekly,2020-03-14/2020-03-20,-0.022634149605593838
100,weekly,2020-03-21/2020-03-27,-0.019525277253218804
100,weekly,2020-03-28/2020-04-03,-0.012681259084689601
100,weekly,2020-04-04/2020-04-10,0.0
100,weekly,2020-04-11/2020-04-17,0.0
100,weekly,2020-04-18/2020-04-24,-0.016249228418821902
100,weekly,2020-04-25/2020-05-01,0.0
100,weekly,2020-05-02/2020-05-08,0.0
100,weekly,2020-05-09/2020-05-15,0.0
100,weekly,2020-05-16/2020-05-22,0.0
100,weekly,2020-05-23/2020-05-29,0.0
100,weekly,2020-05-30/2020-06-05,0.0
100,weekly,2020-06-06/2020-06-12,0.0
100,weekly,2020-06-13/2020-06-19,-0.0114041729135431
100,weekly,2020-06-20/2020-06-26,0.0
100,weekly,2020-06-27/2020-07-03,0.0
100,weekly,2020-07-04/2020-07-10,0.0
100,weekly,2020-07-11/2020-07-17,-0.0003381040562275
100,weekly,2020-07-18/2020-07-24,0.0
100,weekly,2020-07-25/2020-07-31,0.0
100,weekly,2020-08-01/2020-08-07,0.0
100,weekly,2020-08-08/2020-08-14,0.0
100,weekly,2020-08-15/2020-08-21,0.0
100,weekly,2020-08-22/2020-08-28,0.0
100,weekly,2020-08-29/2020-09-04,0.008781762358590899
100,weekly,2020-09-05/2020-09-11,0.0
100,weekly,2020-09-12/2020-09-18,0.0
100,weekly,2020-09-19/2020-09-25,-0.0016483226309695
100,weekly,2020-09-26/2020-10-02,0.0
100,weekly,2020-10-03/2020-10-09,0.0
100,weekly,2020-10-10/2020-10-16,0.0
100,weekly,2020-10-17/2020-10-23,0.0
100,weekly,2020-10-24/2020-10-30,-0.0024392053973012
100,weekly,2020-10-31/2020-11-06,0.0
100,weekly,2020-11-07/2020-11-13,0.0009368115067050998
100,weekly,2020-11-14/2020-11-20,0.0
100,weekly,2020-11-21/2020-11-27,0.0
100,weekly,2020-11-28/2020-12-04,0.0
100,weekly,2020-12-05/2020-12-11,0.0
100,weekly,2020-12-12/2020-12-18,0.0
100,weekly,2020-12-19/2020-12-25,0.0
100,weekly,2020-12-26/2021-01-01,0.0
100,weekly,2021-01-02/2021-01-08,0.0
100,weekly,2021-01-09/2021-01-15,0.0
100,weekly,2021-01-16/2021-01-22,0.0
100,weekly,2021-01-23/2021-01-29,0.0
100,weekly,2021-01-30/2021-02-05,0.0
100,weekly,2021-02-06/2021-02-12,0.0
100,weekly,2021-02-13/2021-02-19,0.0
100,weekly,2021-02-20/2021-02-26,0.0
100,weekly,2021-02-27/2021-03-05,0.03364736582121711
100,weekly,2021-03-06/2021-03-12,0.0
100,weekly,2021-03-13/2021-03-19,-0.0093472448597129
100,weekly,2021-03-20/2021-03-26,0.0
100,weekly,2021-03-27/2021-04-02,0.0
100,weekly,2021-04-03/2021-04-09,0.0
100,weekly,2021-04-10/2021-04-16,0.0
100,weekly,2021-04-17/2021-04-23,0.0
100,weekly,2021-04-24/2021-04-30,0.0
100,weekly,2021-05-01/2021-05-07,0.0
100,weekly,2021-05-08/2021-05-14,0.0
100,weekly,2021-05-15/2021-05-21,0.0
100,weekly,2021-05-22/2021-05-28,0.0
100,weekly,2021-05-29/2021-06-04,0.0
100,weekly,2021-06-05/2021-06-11,0.0
100,weekly,2021-06-12/2021-06-18,-0.0031907091532025
100,weekly,2021-06-19/2021-06-25,0.0
100,weekly,2021-06-26/2021-07-02,0.0
100,weekly,2021-07-03/2021-07-09,0.0
100,weekly,2021-07-10/2021-07-16,0.0
100,weekly,2021-07-17/2021-07-23,0.0
100,weekly,2021-07-24/2021-07-30,0.0
100,weekly,2021-07-31/2021-08-06,0.0
100,weekly,2021-08-07/2021-08-13,0.0
100,weekly,2021-08-14/2021-08-20,0.0
100,weekly,2021-08-21/2021-08-27,0.0
100,weekly,2021-08-28/2021-09-03,0.0
100,weekly,2021-09-04/2021-09-10,0.0
100,weekly,2021-09-11/2021-09-17,0.0
100,weekly,2021-09-18/2021-09-24,0.0
100,weekly,2021-09-25/2021-10-01,0.0
100,weekly,2021-10-02/2021-10-08,0.0
100,weekly,2021-10-09/2021-10-15,0.0
100,weekly,2021-10-16/2021-10-22,0.0
100,weekly,2021-10-23/2021-10-29,0.0
100,weekly,2021-10-30/2021-11-05,0.0
100,weekly,2021-11-06/2021-11-12,0.0
100,weekly,2021-11-13/2021-11-19,0.0
100,weekly,2021-11-20/2021-11-26,0.0
100,weekly,2021-11-27/2021-12-03,0.0
100,weekly,2021-12-04/2021-12-10,0.0
100,weekly,2021-12-11/2021-12-17,0.0168726116695034
100,weekly,2021-12-18/2021-12-24,0.0041342541091332
100,weekly,2021-12-25/2021-12-31,0.0
100,weekly,2022-01-01/2022-01-07,0.0
100,weekly,2022-01-08/2022-01-14,0.0
100,weekly,2022-01-15/2022-01-21,0.0
100,weekly,2022-01-22/2022-01-28,0.0159967745462177
100,weekly,2022-01-29/2022-02-04,-0.0201561499790938
100,weekly,2022-02-05/2022-02-11,0.0112598650674662
100,weekly,2022-02-12/2022-02-18,-0.000697477524502
100,weekly,2022-02-19/2022-02-25,-0.0025329226995712004
100,weekly,2022-02-26/2022-03-04,0.0047176455489469
100,weekly,2022-03-05/2022-03-11,-0.0164933482399865
100,weekly,2022-03-12/2022-03-18,-0.0127548873789406
100,weekly,2022-03-19/2022-03-25,0.0
100,weekly,2022-03-26/2022-04-01,0.0
100,weekly,2022-04-02/2022-04-08,0.0
100,weekly,2022-04-09/2022-04-15,0.0
100,weekly,2022-04-16/2022-04-22,0.0
100,weekly,2022-04-23/2022-04-29,0.0082759946555515
100,weekly,2022-04-30/2022-05-06,-0.0412342186503439
100,weekly,2022-05-07/2022-05-13,0.007843523476745601
100,weekly,2022-05-14/2022-05-20,0.0
100,weekly,2022-05-21/2022-05-27,-0.006602513858740701
100,weekly,2022-05-28/2022-06-03,-0.0171578532927263
100,weekly,2022-06-04/2022-06-10,0.0
100,weekly,2022-06-11/2022-06-17,0.0488262373606172
100,weekly,2022-06-18/2022-06-24,0.0
100,weekly,2022-06-25/2022-07-01,0.011569691204350198
100,weekly,2022-07-02/2022-07-08,0.0
100,weekly,2022-07-09/2022-07-15,-0.0021296925911195998
100,weekly,2022-07-16/2022-07-22,0.0
100,weekly,2022-07-23/2022-07-29,0.0
100,weekly,2022-07-30/2022-08-05,0.0
100,weekly,2022-08-06/2022-08-12,0.0
100,weekly,2022-08-13/2022-08-19,0.0
100,weekly,2022-08-20/2022-08-26,0.0041792174971899
100,weekly,2022-08-27/2022-09-02,0.0
100,weekly,2022-09-03/2022-09-09,0.0
100,weekly,2022-09-10/2022-09-16,0.0
100,weekly,2022-09-17/2022-09-23,-0.0468833712966013
100,weekly,2022-09-24/2022-09-30,0.0030828210455096
100,weekly,2022-10-01/2022-10-07,0.0
100,weekly,2022-10-08/2022-10-14,-0.015239115884352701
100,weekly,2022-10-15/2022-10-21,0.000282816143552
100,weekly,2022-10-22/2022-10-28,0.0184036242142555
100,weekly,2022-10-29/2022-11-04,0.0004851458292952013
100,weekly,2022-11-05/2022-11-11,0.0
100,weekly,2022-11-12/2022-11-18,0.0
100,weekly,2022-11-19/2022-11-25,0.0
100,weekly,2022-11-26/2022-12-02,0.0005703177039189
100,weekly,2022-12-03/2022-12-09,0.0
100,weekly,2022-12-10/2022-12-16,0.0217182375482848
100,weekly,2022-12-17/2022-12-23,0.0
100,weekly,2022-12-24/2022-12-30,0.0
100,weekly,2022-12-31/2023-01-06,-0.004331872723580699
100,weekly,2023-01-07/2023-01-13,0.0
100,weekly,2023-01-14/2023-01-20,0.0
100,weekly,2023-01-21/2023-01-27,0.0
100,weekly,2023-01-28/2023-02-03,0.0061412986156787
100,weekly,2023-02-04/2023-02-10,-0.0251150589705148
100,weekly,2023-02-11/2023-02-17,0.0
100,weekly,2023-02-18/2023-02-24,0.0
100,weekly,2023-02-25/2023-03-03,0.0
100,weekly,2023-03-04/2023-03-10,0.0
100,weekly,2023-03-11/2023-03-17,0.0
100,weekly,2023-03-18/2023-03-24,0.0078042585846330005
100,weekly,2023-03-25/2023-03-31,0.0
100,weekly,2023-04-01/2023-04-07,0.0
100,weekly,2023-04-08/2023-04-14,0.0
100,weekly,2023-04-15/2023-04-21,0.0
100,weekly,2023-04-22/2023-04-28,0.0
100,weekly,2023-04-29/2023-05-05,0.0
100,weekly,2023-05-06/2023-05-12,0.0
100,weekly,2023-05-13/2023-05-19,0.0
100,weekly,2023-05-20/2023-05-26,0.0
100,weekly,2023-05-27/2023-06-02,0.0
100,weekly,2023-06-03/2023-06-09,0.0
100,weekly,2023-06-10/2023-06-16,0.0
100,weekly,2023-06-17/2023-06-23,0.0
100,weekly,2023-06-24/2023-06-30,0.0
100,weekly,2023-07-01/2023-07-07,0.0
100,weekly,2023-07-08/2023-07-14,0.0
100,weekly,2023-07-15/2023-07-21,0.0
100,weekly,2023-07-22/2023-07-28,0.0
100,weekly,2023-07-29/2023-08-04,0.0
100,weekly,2023-08-05/2023-08-11,0.0
100,weekly,2023-08-12/2023-08-18,0.0
100,weekly,2023-08-19/2023-08-25,0.0
100,weekly,2023-08-26/2023-09-01,0.0
100,weekly,2023-09-02/2023-09-08,0.0
100,weekly,2023-09-09/2023-09-15,0.0
100,weekly,2023-09-16/2023-09-22,0.0
100,weekly,2023-09-23/2023-09-29,0.0
100,weekly,2023-09-30/2023-10-06,0.0
100,weekly,2023-10-07/2023-10-13,0.0
100,weekly,2023-10-14/2023-10-20,0.0
100,weekly,2023-10-21/2023-10-27,0.0
100,weekly,2023-10-28/2023-11-03,0.0
100,weekly,2023-11-04/2023-11-10,0.0
100,weekly,2023-11-11/2023-11-17,0.0
100,weekly,2023-11-18/2023-11-24,0.0
100,weekly,2023-11-25/2023-12-01,0.0
100,weekly,2023-12-02/2023-12-08,0.0
100,weekly,2023-12-09/2023-12-15,0.0
100,weekly,2023-12-16/2023-12-22,0.0
100,weekly,2023-12-23/2023-12-29,0.0
100,weekly,2023-12-30/2024-01-05,0.0
100,weekly,2024-01-06/2024-01-12,0.0
100,weekly,2024-01-13/2024-01-19,0.0
100,weekly,2024-01-20/2024-01-26,0.0
100,weekly,2024-01-27/2024-02-02,0.0
100,weekly,2024-02-03/2024-02-09,0.0
100,weekly,2024-02-10/2024-02-16,0.0
100,weekly,2024-02-17/2024-02-23,0.0
100,weekly,2024-02-24/2024-03-01,0.0
100,weekly,2024-03-02/2024-03-08,0.0
100,weekly,2024-03-09/2024-03-15,0.0
100,weekly,2024-03-16/2024-03-22,0.0
100,weekly,2024-03-23/2024-03-29,0.0
100,weekly,2024-03-30/2024-04-05,0.0
100,weekly,2024-04-06/2024-04-12,0.0
100,weekly,2024-04-13/2024-04-19,0.0
100,weekly,2024-04-20/2024-04-26,0.0
100,weekly,2024-04-27/2024-05-03,0.0
100,weekly,2024-05-04/2024-05-10,0.0
100,weekly,2024-05-11/2024-05-17,0.0
100,weekly,2024-05-18/2024-05-24,0.0
100,weekly,2024-05-25/2024-05-31,0.0
100,weekly,2024-06-01/2024-06-07,0.0
100,weekly,2024-06-08/2024-06-14,0.0
100,weekly,2024-06-15/2024-06-21,0.0
100,weekly,2024-06-22/2024-06-28,0.0
100,weekly,2024-06-29/2024-07-05,0.0
100,weekly,2024-07-06/2024-07-12,0.0
100,weekly,2024-07-13/2024-07-19,0.0
100,weekly,2024-07-20/2024-07-26,0.007859954122938499
100,weekly,2024-07-27/2024-08-02,0.0065108033417926
100,weekly,2024-08-03/2024-08-09,-0.005556256709175827
100,weekly,2024-08-10/2024-08-16,0.0
100,weekly,2024-08-17/2024-08-23,0.0043996643545514
100,weekly,2024-08-24/2024-08-30,0.0
100,weekly,2024-08-31/2024-09-06,0.019558237449092755
100,weekly,2024-09-07/2024-09-13,0.0
100,weekly,2024-09-14/2024-09-20,0.001995240313889484
100,weekly,2024-09-21/2024-09-27,0.005488289517969301
100,weekly,2024-09-28/2024-10-04,0.0
100,weekly,2024-10-05/2024-10-11,0.0
100,weekly,2024-10-12/2024-10-18,0.0
100,weekly,2024-10-19/2024-10-25,0.0
100,weekly,2024-10-26/2024-11-01,0.0
100,weekly,2024-11-02/2024-11-08,0.0
100,weekly,2024-11-09/2024-11-15,0.0
100,weekly,2024-11-16/2024-11-22,0.0
100,weekly,2024-11-23/2024-11-29,0.0
100,weekly,2024-11-30/2024-12-06,0.0
100,weekly,2024-12-07/2024-12-13,0.0
100,weekly,2024-12-14/2024-12-20,0.0
100,weekly,2024-12-21/2024-12-27,0.0
100,weekly,2024-12-28/2025-01-03,0.0
100,weekly,2025-01-04/2025-01-10,0.0
100,weekly,2025-01-11/2025-01-17,0.0
100,weekly,2025-01-18/2025-01-24,0.0
100,weekly,2025-01-25/2025-01-31,0.0
100,weekly,2025-02-01/2025-02-07,0.0
100,weekly,2025-02-08/2025-02-14,0.0
100,weekly,2025-02-15/2025-02-21,0.0
100,weekly,2025-02-22/2025-02-28,0.0
100,weekly,2025-03-01/2025-03-07,-0.0017680615675561
100,weekly,2025-03-08/2025-03-14,-0.0105604405463557
100,weekly,2025-03-15/2025-03-21,-0.00508509472315
100,weekly,2025-03-22/2025-03-28,0.0
100,weekly,2025-03-29/2025-04-04,-0.015243706567272999
100,weekly,2025-04-05/2025-04-11,0.21424067218566506
100,weekly,2025-04-12/2025-04-18,-0.0001676199782112
100,weekly,2025-04-19/2025-04-25,-0.0026696927434616
100,weekly,2025-04-26/2025-05-02,0.0
100,weekly,2025-05-03/2025-05-09,0.0
100,weekly,2025-05-10/2025-05-16,0.0
100,weekly,2025-05-17/2025-05-23,0.0
100,weekly,2025-05-24/2025-05-30,0.0
100,weekly,2025-05-31/2025-06-06,0.0
100,weekly,2025-06-07/2025-06-13,0.0
100,weekly,2025-06-14/2025-06-20,0.0
100,weekly,2025-06-21/2025-06-27,0.0
100,weekly,2025-06-28/2025-07-04,0.0
100,weekly,2025-07-05/2025-07-11,0.0
100,weekly,2025-07-12/2025-07-18,0.0
100,weekly,2025-07-19/2025-07-25,0.0
100,weekly,2025-07-26/2025-08-01,0.0
100,weekly,2025-08-02/2025-08-08,0.0
100,weekly,2025-08-09/2025-08-15,0.0
100,weekly,2025-08-16/2025-08-22,-0.0140680984507746
100,weekly,2025-08-23/2025-08-29,0.0
100,weekly,2025-08-30/2025-09-05,0.0
100,weekly,2025-09-06/2025-09-12,0.0
100,weekly,2025-09-13/2025-09-19,0.0
100,weekly,2025-09-20/2025-09-26,0.0
100,weekly,2025-09-27/2025-10-03,0.0
100,weekly,2025-10-04/2025-10-10,0.0
100,weekly,2025-10-11/2025-10-17,0.0
100,weekly,2025-10-18/2025-10-24,0.0
100,weekly,2025-10-25/2025-10-31,0.006407614931416001
100,weekly,2025-11-01/2025-11-07,0.0
100,weekly,2025-11-08/2025-11-14,0.0
100,weekly,2025-11-15/2025-11-21,-0.0172920533255637
100,weekly,2025-11-22/2025-11-28,0.0
100,weekly,2025-11-29/2025-12-05,0.0
100,weekly,2025-12-06/2025-12-12,0.0
100,weekly,2025-12-13/2025-12-19,0.0
100,weekly,2025-12-20/2025-12-26,0.0
100,weekly,2025-12-27/2026-01-02,0.0
100,weekly,2026-01-03/2026-01-09,0.0
100,weekly,2026-01-10/2026-01-16,0.0
100,weekly,2026-01-17/2026-01-23,0.0
100,weekly,2026-01-24/2026-01-30,0.0
100,weekly,2026-01-31/2026-02-06,0.017818620204401996
100,weekly,2026-02-07/2026-02-13,0.0
100,weekly,2026-02-14/2026-02-20,0.0083254687763178
100,weekly,2026-02-21/2026-02-27,0.0
100,weekly,2026-02-28/2026-03-06,0.0
100,weekly,2026-03-07/2026-03-13,0.0
100,weekly,2026-03-14/2026-03-20,0.0
100,weekly,2026-03-21/2026-03-27,0.0
100,weekly,2026-03-28/2026-04-03,0.0008546048298572
100,weekly,2026-04-04/2026-04-10,0.0
100,weekly,2026-04-11/2026-04-17,0.0
100,weekly,2026-04-18/2026-04-24,0.0
100,weekly,2026-04-25/2026-05-01,0.0
100,monthly,2019-06,0.0
100,monthly,2019-07,0.0
100,monthly,2019-08,-0.0257800633491803
100,monthly,2019-09,-0.0073611579229605
100,monthly,2019-10,-0.0020062077243008
100,monthly,2019-11,0.0
100,monthly,2019-12,0.0
100,monthly,2020-01,0.001657124379597
100,monthly,2020-02,-0.0264892862211817
100,monthly,2020-03,-0.045569686325673396
100,monthly,2020-04,-0.0289304875035115
100,monthly,2020-05,0.0
100,monthly,2020-06,-0.0114041729135431
100,monthly,2020-07,-0.0003381040562275
100,monthly,2020-08,0.0
100,monthly,2020-09,0.007133439727621399
100,monthly,2020-10,-0.0024392053973012
100,monthly,2020-11,0.0009368115067050998
100,monthly,2020-12,0.0
100,monthly,2021-01,0.0
100,monthly,2021-02,0.0
100,monthly,2021-03,0.02430012096150421
100,monthly,2021-04,0.0
100,monthly,2021-05,0.0
100,monthly,2021-06,-0.0031907091532025
100,monthly,2021-07,0.0
100,monthly,2021-08,0.0
100,monthly,2021-09,0.0
100,monthly,2021-10,0.0
100,monthly,2021-11,0.0
100,monthly,2021-12,0.0210068657786366
100,monthly,2022-01,0.0159967745462177
100,monthly,2022-02,-0.012126685135700801
100,monthly,2022-03,-0.024530590069980204
100,monthly,2022-04,0.0082759946555515
100,monthly,2022-05,-0.039993209032339
100,monthly,2022-06,0.04323807527224109
100,monthly,2022-07,-0.0021296925911195998
100,monthly,2022-08,0.0041792174971899
100,monthly,2022-09,-0.0438005502510917
100,monthly,2022-10,0.003447324473454798
100,monthly,2022-11,0.0010554635332141013
100,monthly,2022-12,0.0217182375482848
100,monthly,2023-01,-0.004331872723580699
100,monthly,2023-02,-0.0189737603548361
100,monthly,2023-03,0.0078042585846330005
100,monthly,2023-04,0.0
100,monthly,2023-05,0.0
100,monthly,2023-06,0.0
100,monthly,2023-07,0.0
100,monthly,2023-08,0.0
100,monthly,2023-09,0.0
100,monthly,2023-10,0.0
100,monthly,2023-11,0.0
100,monthly,2023-12,0.0
100,monthly,2024-01,0.0
100,monthly,2024-02,0.0
100,monthly,2024-03,0.0
100,monthly,2024-04,0.0
100,monthly,2024-05,0.0
100,monthly,2024-06,0.0
100,monthly,2024-07,0.007859954122938499
100,monthly,2024-08,0.005354210987168173
100,monthly,2024-09,0.027041767280951538
100,monthly,2024-10,0.0
100,monthly,2024-11,0.0
100,monthly,2024-12,0.0
100,monthly,2025-01,0.0
100,monthly,2025-02,0.0
100,monthly,2025-03,-0.0174135968370618
100,monthly,2025-04,0.1961596528967193
100,monthly,2025-05,0.0
100,monthly,2025-06,0.0
100,monthly,2025-07,0.0
100,monthly,2025-08,-0.0140680984507746
100,monthly,2025-09,0.0
100,monthly,2025-10,0.006407614931416001
100,monthly,2025-11,-0.0172920533255637
100,monthly,2025-12,0.0
100,monthly,2026-01,0.0
100,monthly,2026-02,0.026144088980719796
100,monthly,2026-03,0.0
100,monthly,2026-04,0.0008546048298572
100,yearly,2019,-0.035147428996441604
100,yearly,2020,-0.1054435668035149
100,yearly,2021,0.04211627758693831
100,yearly,2022,-0.02466963955407741
100,yearly,2023,-0.0155013744937838
100,yearly,2024,0.04025593239105821
100,yearly,2025,0.1537935192147352
100,yearly,2026,0.026998693810576995
